n_batteries,feeder_limit_kw,controller,peak,ramp,violations,total_excess
5,50.0,Experiment 1 - TOU,103.11925491708158,43.283735678346794,8,141.9318921047533
5,50.0,Experiment 2 - Randomized TOU,83.11925491708158,33.283735678346794,8,123.9888212882365
5,50.0,Experiment 3 - Capped TOU,58.98332743117637,61.881732422902914,15,67.32933967837289
5,50.0,Experiment 4 - Soft Capped TOU,56.94866868360262,25.66733720062863,5,21.532163232857492
5,60.0,Experiment 1 - TOU,103.11925491708158,43.283735678346794,3,91.55447509720697
5,60.0,Experiment 2 - Randomized TOU,83.11925491708158,31.881732422902914,3,36.29131720247013
5,60.0,Experiment 3 - Capped TOU,69.51282997118489,43.283735678346794,6,31.08914274655256
5,60.0,Experiment 4 - Soft Capped TOU,59.88067735330135,33.81311400564562,0,0.0
5,80.0,Experiment 1 - TOU,103.11925491708158,43.283735678346794,2,36.778487231285254
5,80.0,Experiment 2 - Randomized TOU,93.11925491708158,19.4600226028779,1,13.119254917081577
5,80.0,Experiment 3 - Capped TOU,83.65923231420368,43.283735678346794,3,8.92289614983855
5,80.0,Experiment 4 - Soft Capped TOU,78.04539598070568,43.038655921125745,0,0.0
10,50.0,Experiment 1 - TOU,202.01367359526748,96.38198147199964,19,1192.8938963880933
10,50.0,Experiment 2 - Randomized TOU,162.01367359526748,37.55856727218607,21,1083.066070506713
10,50.0,Experiment 3 - Capped TOU,123.34653830865585,22.48856292687853,24,1192.921370369405
10,50.0,Experiment 4 - Soft Capped TOU,123.34653830865585,74.5071273297386,21,1028.9664747468696
10,60.0,Experiment 1 - TOU,202.01367359526748,96.38198147199964,19,1002.8938963880934
10,60.0,Experiment 2 - Randomized TOU,166.771491136085,54.271250077228615,20,918.2517603293007
10,60.0,Experiment 3 - Capped TOU,123.34653830865585,22.48856292687853,24,952.9213703694047
10,60.0,Experiment 4 - Soft Capped TOU,123.34653830865585,68.26395796084152,21,817.6917227504376
10,80.0,Experiment 1 - TOU,202.01367359526748,96.38198147199964,19,622.8938963880934
10,80.0,Experiment 2 - Randomized TOU,149.3686443090046,66.38198147199964,17,522.9794691561851
10,80.0,Experiment 3 - Capped TOU,123.34653830865585,22.48856292687853,24,472.9213703694048
10,80.0,Experiment 4 - Soft Capped TOU,123.34653830865585,54.589097829015756,19,357.36325836535724
20,50.0,Experiment 1 - TOU,391.5404576795571,202.02363843545564,20,3361.5202727273663
20,50.0,Experiment 2 - Randomized TOU,341.5404576795571,152.02363843545564,23,3269.73712310569
20,50.0,Experiment 3 - Capped TOU,232.9286402583323,55.01463119478973,24,3582.407138575002
20,50.0,Experiment 4 - Soft Capped TOU,232.9286402583323,196.3833770163284,22,3209.5775722279814
20,60.0,Experiment 1 - TOU,391.5404576795571,202.02363843545564,19,3162.8188816928596
20,60.0,Experiment 2 - Randomized TOU,330.9657928541727,132.02363843545564,22,3010.550373703998
20,60.0,Experiment 3 - Capped TOU,232.9286402583323,55.01463119478973,24,3342.407138575002
20,60.0,Experiment 4 - Soft Capped TOU,232.9286402583323,193.49148521879155,22,2983.6922349907127
20,80.0,Experiment 1 - TOU,391.5404576795571,202.02363843545564,19,2782.8188816928596
20,80.0,Experiment 2 - Randomized TOU,340.9657928541727,132.02363843545564,22,2560.7738115933125
20,80.0,Experiment 3 - Capped TOU,232.9286402583323,55.01463119478973,24,2862.407138575002
20,80.0,Experiment 4 - Soft Capped TOU,232.9286402583323,186.48045773884377,22,2528.5549994974067
