scenario,n_batteries,feeder_limit_kw,information_level,peak,ramp,violations,total_excess
light,5,60.0,none,103.11925491708158,43.283735678346794,4,95.47778958380641
light,5,60.0,local,80.47403335579848,35.557938283359526,4,28.237114314718617
light,5,60.0,neighborhood,103.11925491708158,59.460022602877906,3,100.96396972438177
light,5,60.0,global,89.05025366363793,44.88654470874434,4,70.91108773202477
medium,10,60.0,none,202.01367359526748,96.38198147199964,19,1004.9724574913088
medium,10,60.0,local,140.83109927885567,85.41879392879815,21,830.321013814355
medium,10,60.0,neighborhood,202.01367359526748,111.97494964559355,19,1029.6268133375847
medium,10,60.0,global,123.34653830865585,96.38198147199964,22,831.2778401082637
hard,20,80.0,none,391.5404576795571,202.02363843545564,19,2763.391610378263
hard,20,80.0,local,289.5970284617043,174.32956660053742,22,2621.3092032068403
hard,20,80.0,neighborhood,391.5404576795571,202.02363843545564,19,2763.79944745145
hard,20,80.0,global,232.9286402583323,201.53993747510202,22,2504.5878446447823
