scenario,n_batteries,feeder_limit_kw,information_level,peak,ramp,violations,total_excess
light,5,60.0,none,106.40847816331649,89.93853266209908,3,119.71015732903447
light,5,60.0,local,93.36197670424724,53.37564147606133,3,72.48193192831664
light,5,60.0,neighborhood,106.40847816331649,89.93853266209908,3,119.71015732903447
light,5,60.0,global,87.18851734323982,56.380341687075585,3,53.84860919282761
medium,10,60.0,none,209.3419925455248,187.72777275997308,18,1017.8675330304562
medium,10,60.0,local,178.2484394108622,118.80622370562796,20,857.2414600654861
medium,10,60.0,neighborhood,209.3419925455248,187.72777275997308,19,1050.38863502316
medium,10,60.0,global,123.34653830865585,111.97494964559355,21,852.8749829976166
hard,20,80.0,none,432.9286402583323,405.4392642716589,19,2769.3058602889478
hard,20,80.0,local,377.16734511507394,227.63760094911146,24,2611.3552338425957
hard,20,80.0,neighborhood,432.9286402583323,405.4392642716589,19,2775.639443226344
hard,20,80.0,global,232.9286402583323,206.5447172588403,22,2496.089339634244
