scenario,n_batteries,feeder_limit_kw,information_level,peak,ramp,violations,total_excess
light,5,60.0,none,103.11925491708158,43.283735678346794,3,91.55447509720697
light,5,60.0,local,78.11925491708158,36.22299726632179,2,22.028487231285254
light,5,60.0,neighborhood,103.11925491708158,59.460022602877906,3,94.81364527857816
light,5,60.0,global,89.87192800444326,44.88654470874434,4,77.81899176716975
medium,10,60.0,none,202.01367359526748,96.38198147199964,19,1002.8938963880934
medium,10,60.0,local,152.01367359526748,82.26050464794963,21,877.6719831482137
medium,10,60.0,neighborhood,202.01367359526748,111.97494964559355,19,1002.8938963880934
medium,10,60.0,global,123.34653830865585,96.38198147199964,22,835.4464893936159
hard,20,80.0,none,391.5404576795571,202.02363843545564,19,2782.8188816928596
hard,20,80.0,local,291.5404576795571,173.78068478735563,22,2629.8804697862897
hard,20,80.0,neighborhood,397.9942110733666,207.02841821919392,19,2782.8188816928596
hard,20,80.0,global,232.9286402583323,202.02363843545564,22,2562.5884946900746
