scenario,n_batteries,feeder_limit_kw,information_level,peak,ramp,violations,total_excess
light,5,60.0,none,106.40847816331649,99.611892740114,3,119.71015732903447
light,5,60.0,local,92.62103216459028,53.76701739385361,3,69.67316261981645
light,5,60.0,neighborhood,106.40847816331649,99.611892740114,3,119.71015732903447
light,5,60.0,global,87.18851734323982,61.893704955484154,3,53.84860919282761
medium,10,60.0,none,209.3419925455248,208.63737478877283,19,1037.8859390168207
medium,10,60.0,local,181.76710054807234,116.94762409625206,20,879.4343572603498
medium,10,60.0,neighborhood,209.3419925455248,208.63737478877283,19,1037.8859390168207
medium,10,60.0,global,123.34653830865585,111.97494964559355,21,859.3497524890075
hard,20,80.0,none,432.9286402583323,405.4392642716589,19,2814.8244127944013
hard,20,80.0,local,377.77885626342743,227.73171251484308,24,2620.0722201242015
hard,20,80.0,neighborhood,432.9286402583323,405.4392642716589,19,2814.8244127944013
hard,20,80.0,global,232.9286402583323,207.02841821919392,22,2554.0899896795363
