scenario,n_batteries,feeder_limit_kw,neighborhood_size,peak,peak_pct_of_none,ramp,violations,excess,none_peak,global_peak
light,5,60.0,1,106.40847816331649,100.0,89.93853266209908,3,119.71015732903447,106.40847816331649,87.18851734323982
light,5,60.0,2,106.40847816331649,100.0,89.93853266209908,3,119.71015732903447,106.40847816331649,87.18851734323982
light,5,60.0,4,106.40847816331649,100.0,92.74019820551254,3,119.71015732903447,106.40847816331649,87.18851734323982
light,5,60.0,4,106.40847816331649,100.0,89.93853266209908,3,119.71015732903447,106.40847816331649,87.18851734323982
light,5,60.0,4,106.40847816331649,100.0,99.611892740114,3,119.71015732903447,106.40847816331649,87.18851734323982
medium,10,60.0,1,209.3419925455248,100.0,197.17179733463354,18,1017.0789998106995,209.3419925455248,123.34653830865585
medium,10,60.0,2,209.3419925455248,100.0,187.72777275997308,19,1023.4315328428964,209.3419925455248,123.34653830865585
medium,10,60.0,5,209.3419925455248,100.0,199.2034793461495,19,1029.521410182783,209.3419925455248,123.34653830865585
medium,10,60.0,9,209.3419925455248,100.0,187.72777275997308,19,1030.6208466196017,209.3419925455248,123.34653830865585
medium,10,60.0,9,209.3419925455248,100.0,195.7418927024203,18,1012.129280416738,209.3419925455248,123.34653830865585
hard,20,80.0,1,432.9286402583323,100.0,405.4392642716589,19,2795.5740815903496,432.9286402583323,232.9286402583323
hard,20,80.0,2,432.9286402583323,100.0,405.4392642716589,19,2787.8151255216617,432.9286402583323,232.9286402583323
hard,20,80.0,5,432.9286402583323,100.0,405.4392642716589,19,2762.204826576858,432.9286402583323,232.9286402583323
hard,20,80.0,10,432.9286402583323,100.0,405.4392642716589,19,2768.392804548891,432.9286402583323,232.9286402583323
hard,20,80.0,19,432.9286402583323,100.0,405.4392642716589,19,2778.3419780179956,432.9286402583323,232.9286402583323
