scenario,n_batteries,feeder_limit_kw,controller,softness,peak,ramp,violations,total_excess
light,5,60.0,Baseline - TOU,,103.11925491708158,43.283735678346794,3,91.55447509720697
light,5,60.0,Soft Capped TOU,0.1,63.67522209544308,38.97008331612927,6,15.413193825868802
light,5,60.0,Soft Capped TOU,0.3,59.88067735330135,33.81311400564562,0,0.0
light,5,60.0,Soft Capped TOU,0.5,59.09389365163214,41.87402317101295,0,0.0
medium,10,60.0,Baseline - TOU,,202.01367359526748,96.38198147199964,19,1002.8938963880934
medium,10,60.0,Soft Capped TOU,0.1,123.34653830865585,90.87994965360764,22,829.9444575752239
medium,10,60.0,Soft Capped TOU,0.3,123.34653830865585,68.26395796084152,21,817.6917227504376
medium,10,60.0,Soft Capped TOU,0.5,123.34653830865585,55.05584110122398,20,768.1386293995588
hard,20,80.0,Baseline - TOU,,391.5404576795571,202.02363843545564,19,2782.8188816928596
hard,20,80.0,Soft Capped TOU,0.1,232.9286402583323,202.02363843545564,22,2561.4684986442394
hard,20,80.0,Soft Capped TOU,0.3,232.9286402583323,186.48045773884377,22,2528.5549994974067
hard,20,80.0,Soft Capped TOU,0.5,232.9286402583323,162.09106082511198,21,2486.4140699445493
